model,seed,parameter,estimate,lower_bound,upper_bound,relative_bound_position
TMSFF,42,a_max,1.7939923148434653,0.1,3.0,0.5841352809805053
TMSFF,42,b_comfort,2.160949873968973,0.1,3.0,0.7106723703341287
TMSFF,42,T,0.46918019514966935,0.1,2.0,0.19430536586824704
TMSFF,42,v_desired,10.97834748895865,3.0,30.0,0.295494351442913
TMSFF,42,s0,2.332839509542651,0.1,5.0,0.45568153255972466
TMSFF,43,a_max,1.8608050496140134,0.1,3.0,0.6071741550393149
TMSFF,43,b_comfort,2.4471242386703014,0.1,3.0,0.8093531857483798
TMSFF,43,T,0.4256133635115063,0.1,2.0,0.17137545447974015
TMSFF,43,v_desired,10.887749606026105,3.0,30.0,0.29213887429726315
TMSFF,43,s0,2.5367867155814063,0.1,5.0,0.4973034113431441
TMSFF,44,a_max,1.7397776721188825,0.1,3.0,0.5654405765927181
TMSFF,44,b_comfort,2.147524564738522,0.1,3.0,0.706042953358111
TMSFF,44,T,0.475775155285474,0.1,2.0,0.19777639751867054
TMSFF,44,v_desired,11.010227684936503,3.0,30.0,0.2966750994420927
TMSFF,44,s0,2.1628530149157847,0.1,5.0,0.42099041120730296
TMSFF,45,a_max,1.8415373552375236,0.1,3.0,0.6005301224956978
TMSFF,45,b_comfort,2.413708314652334,0.1,3.0,0.7978304533283911
TMSFF,45,T,0.41252391156054063,0.1,2.0,0.1644862692423898
TMSFF,45,v_desired,10.843183057928746,3.0,30.0,0.29048826140476836
TMSFF,45,s0,2.5768722685923517,0.1,5.0,0.5054841364474186
TMSFF,46,a_max,1.8499229122853555,0.1,3.0,0.6034216938915019
TMSFF,46,b_comfort,2.426721329402037,0.1,3.0,0.8023176997938058
TMSFF,46,T,0.4337661945737077,0.1,2.0,0.17566641819668827
TMSFF,46,v_desired,10.870534521951477,3.0,30.0,0.29150127859079544
TMSFF,46,s0,2.4827011956964027,0.1,5.0,0.48626555014212297
AV-IDM,42,C_front,2.748798665053628,0.5,3.0,0.8995194660214512
AV-IDM,42,C_rear,2.819488575430701,0.5,3.0,0.9277954301722804
AV-IDM,42,C_left,1.8608957390706067,0.5,3.0,0.5443582956282427
AV-IDM,42,C_right,2.0326497281639906,0.5,3.0,0.6130598912655962
AV-IDM,42,a_lat,0.7927141614600097,0.25,1.0,0.7236188819466797
AV-IDM,42,b_lat,1.138520151291111,1.0,4.0,0.04617338376370365
AV-IDM,42,s0_lat,2.9462258256673537,0.2,3.0,0.9807949377383406
AV-IDM,42,T_lat,1.031486625221539,0.5,2.0,0.3543244168143594
AV-IDM,42,a_long,1.3371577639993868,1.0,4.0,0.11238592133312893
AV-IDM,42,v_desired_long,17.38270462451867,5.0,20.0,0.825513641634578
AV-IDM,42,b_long,3.955153736053051,1.0,4.0,0.9850512453510171
AV-IDM,42,s0_long,3.9940613975462393,1.0,4.0,0.9980204658487465
AV-IDM,42,T_long,0.7074936051740739,0.5,2.0,0.13832907011604925
AV-IDM,43,C_front,2.7819916653399432,0.5,3.0,0.9127966661359773
AV-IDM,43,C_rear,2.7637012932431366,0.5,3.0,0.9054805172972547
AV-IDM,43,C_left,1.4360765743261648,0.5,3.0,0.3744306297304659
AV-IDM,43,C_right,2.225888514873182,0.5,3.0,0.6903554059492729
AV-IDM,43,a_lat,0.7686737593573338,0.25,1.0,0.6915650124764451
AV-IDM,43,b_lat,2.5654583950036582,1.0,4.0,0.5218194650012195
AV-IDM,43,s0_lat,2.927839911754072,0.2,3.0,0.9742285399121685
AV-IDM,43,T_lat,1.402905432366762,0.5,2.0,0.6019369549111747
AV-IDM,43,a_long,1.3937336482545657,1.0,4.0,0.13124454941818856
AV-IDM,43,v_desired_long,11.413847630878893,5.0,20.0,0.42758984205859285
AV-IDM,43,b_long,3.448391578998864,1.0,4.0,0.8161305263329547
AV-IDM,43,s0_long,3.9943346197493272,1.0,4.0,0.9981115399164424
AV-IDM,43,T_long,1.1342135405131057,0.5,2.0,0.4228090270087372
AV-IDM,44,C_front,2.070891801807613,0.5,3.0,0.6283567207230452
AV-IDM,44,C_rear,2.00639689020991,0.5,3.0,0.6025587560839639
AV-IDM,44,C_left,2.8555176997124256,0.5,3.0,0.9422070798849702
AV-IDM,44,C_right,1.835927113950133,0.5,3.0,0.5343708455800532
AV-IDM,44,a_lat,0.9078652638654998,0.25,1.0,0.8771536851539997
AV-IDM,44,b_lat,1.60021627948504,1.0,4.0,0.20007209316168004
AV-IDM,44,s0_lat,2.893019837149903,0.2,3.0,0.9617927989821082
AV-IDM,44,T_lat,0.8302215502278383,0.5,2.0,0.2201477001518922
AV-IDM,44,a_long,1.216164946633767,1.0,4.0,0.07205498221125566
AV-IDM,44,v_desired_long,9.543536703964945,5.0,20.0,0.3029024469309963
AV-IDM,44,b_long,3.427869360392231,1.0,4.0,0.8092897867974104
AV-IDM,44,s0_long,3.624818695814722,1.0,4.0,0.874939565271574
AV-IDM,44,T_long,1.575436069324688,0.5,2.0,0.716957379549792
AV-IDM,45,C_front,2.895897028243097,0.5,3.0,0.9583588112972388
AV-IDM,45,C_rear,2.9463612645750215,0.5,3.0,0.9785445058300086
AV-IDM,45,C_left,1.841215482660973,0.5,3.0,0.5364861930643892
AV-IDM,45,C_right,2.2914210827089887,0.5,3.0,0.7165684330835955
AV-IDM,45,a_lat,0.8261580358677539,0.25,1.0,0.7682107144903386
AV-IDM,45,b_lat,1.9552197366960273,1.0,4.0,0.3184065788986758
AV-IDM,45,s0_lat,2.927468043608781,0.2,3.0,0.974095729860279
AV-IDM,45,T_lat,1.8934056654671498,0.5,2.0,0.9289371103114332
AV-IDM,45,a_long,1.3732763249949227,1.0,4.0,0.12442544166497423
AV-IDM,45,v_desired_long,16.720691896566194,5.0,20.0,0.7813794597710796
AV-IDM,45,b_long,3.3196260609663777,1.0,4.0,0.7732086869887925
AV-IDM,45,s0_long,3.9700100268686453,1.0,4.0,0.9900033422895484
AV-IDM,45,T_long,0.9590494419285911,0.5,2.0,0.3060329612857274
AV-IDM,46,C_front,2.1823971701484823,0.5,3.0,0.672958868059393
AV-IDM,46,C_rear,2.1752396330883537,0.5,3.0,0.6700958532353415
AV-IDM,46,C_left,1.5350993776993065,0.5,3.0,0.4140397510797226
AV-IDM,46,C_right,1.843140801639298,0.5,3.0,0.5372563206557193
AV-IDM,46,a_lat,0.9992109408104703,0.25,1.0,0.9989479210806271
AV-IDM,46,b_lat,1.0483993799448528,1.0,4.0,0.016133126648284257
AV-IDM,46,s0_lat,2.7435876755446924,0.2,3.0,0.9084241698373902
AV-IDM,46,T_lat,1.2287336555187098,0.5,2.0,0.48582243701247324
AV-IDM,46,a_long,1.538983722056735,1.0,4.0,0.17966124068557834
AV-IDM,46,v_desired_long,13.387062110535041,5.0,20.0,0.5591374740356694
AV-IDM,46,b_long,3.4658300917497127,1.0,4.0,0.8219433639165709
AV-IDM,46,s0_long,3.8190959805427838,1.0,4.0,0.939698660180928
AV-IDM,46,T_long,1.3793554204956218,0.5,2.0,0.5862369469970812
