model,seed,generation,evaluations,best_objective_m,median_objective_m,mean_objective_m
AV-IDM,42,0,100,3.578564047482147,13.609241825033372,14.060345847298054
AV-IDM,42,1,200,2.384407401765873,9.043770664977405,9.872746052726429
AV-IDM,42,2,300,2.384407401765873,7.913574853963561,8.87741430312467
AV-IDM,42,3,400,2.384407401765873,6.09313678294846,6.676520109580395
AV-IDM,42,4,500,2.384407401765873,4.989923558522715,5.834750283605746
AV-IDM,42,5,600,1.9246280508920737,5.08944405656159,5.939787999214757
AV-IDM,42,6,700,1.9246280508920737,4.434194000000977,5.176396288405089
AV-IDM,42,7,800,1.9246280508920737,4.381389998204342,4.849729157188202
AV-IDM,42,8,900,1.8428690610365652,3.6303752001251945,5.133907535450991
AV-IDM,42,9,1000,1.8428690610365652,3.1512857273595802,5.241297269363954
AV-IDM,42,10,1100,1.761672027472097,2.486485592501408,3.931106275696915
AV-IDM,42,11,1200,1.761672027472097,2.3302282190332075,3.631323679440031
AV-IDM,42,12,1300,1.7535643897102116,1.9945574173931377,2.465258796632385
AV-IDM,42,13,1400,1.7533465520121048,1.899943045076827,2.2411208408977124
AV-IDM,42,14,1500,1.7533465520121048,1.8806589506056142,2.305206791404972
AV-IDM,42,15,1600,1.6997649599167064,1.8218569186978975,1.9554358275460273
AV-IDM,42,16,1700,1.6997649599167064,1.799503930479513,1.9597064628626892
AV-IDM,42,17,1800,1.6997649599167064,1.788734639729713,2.2209941538370996
AV-IDM,42,18,1900,1.6997649599167064,1.7773469988959318,2.1333144348352047
AV-IDM,42,19,2000,1.6997649599167064,1.7720283910537382,2.1421685158237636
AV-IDM,42,20,2100,1.6997649599167064,1.7691151806768874,1.9183726484630363
AV-IDM,42,21,2200,1.6997649599167064,1.756306265713046,1.9603994104439395
AV-IDM,42,22,2300,1.6987491831835648,1.7537922559440848,1.9355433590008329
AV-IDM,42,23,2400,1.6987491831835648,1.748107636462297,1.9605955874497625
AV-IDM,42,24,2500,1.6987491831835648,1.7523839974643063,2.2605591721991805
AV-IDM,42,25,2600,1.6987491831835648,1.741144873179022,2.0547911071110256
AV-IDM,42,26,2700,1.6987491831835648,1.7183443393613618,2.0331952680372525
AV-IDM,42,27,2800,1.6987491831835648,1.6997649599167064,2.14579829069039
AV-IDM,42,28,2900,1.6987491831835648,1.6987491831835648,2.0222019816407464
AV-IDM,42,29,3000,1.6987491831835648,1.6987491831835648,2.1125806065114894
AV-IDM,42,30,3100,1.6987491831835648,1.6987491831835648,2.0563934315876526
AV-IDM,42,31,3200,1.6987491831835648,1.6987491831835648,2.0118118748024405
AV-IDM,42,32,3300,1.6987491831835648,1.6987491831835648,1.9711538599710252
AV-IDM,42,33,3400,1.6987491831835648,1.6987491831835648,1.791441647804709
AV-IDM,42,34,3500,1.6987491831835648,1.6987491831835648,1.9301386837086845
AV-IDM,42,35,3600,1.6987491831835648,1.6987491831835648,1.8330937964635832
AV-IDM,42,36,3700,1.6980262491526177,1.6987491831835648,1.7836034998822277
AV-IDM,42,37,3800,1.6980262491526177,1.6987491831835648,1.960241356380702
AV-IDM,42,38,3900,1.6980262491526177,1.6987491831835648,1.9568555702057286
AV-IDM,42,39,4000,1.6980262491526177,1.6987491831835648,1.8431269699815829
AV-IDM,42,40,4100,1.6980262491526177,1.6987491831835648,2.1822002352069534
AV-IDM,42,41,4200,1.6980262491526177,1.6980262491526177,2.0659513749442686
AV-IDM,42,42,4300,1.6980262491526177,1.6980262491526177,2.0580393507511427
AV-IDM,42,43,4400,1.6980262491526177,1.6980262491526177,2.1438829986889187
AV-IDM,42,44,4500,1.6980262491526177,1.6980262491526177,1.927534938446833
AV-IDM,42,45,4600,1.6979517875782044,1.6980262491526177,2.0032594417154037
AV-IDM,42,46,4700,1.6979517875782044,1.6980262491526177,1.850427295240999
AV-IDM,42,47,4800,1.6979517875782044,1.6980262491526177,2.018135862264613
AV-IDM,42,48,4900,1.6979517875782044,1.6980262491526177,2.08145370549448
AV-IDM,42,49,5000,1.6979517875782044,1.6980262491526177,2.015149023378443
AV-IDM,42,50,5100,1.6979517875782044,1.6979517875782044,2.1660664134888457
AV-IDM,42,51,5200,1.6979517875782044,1.6979517875782044,2.1305688703620644
AV-IDM,42,52,5300,1.6979517875782044,1.6979517875782044,2.3660061359344837
AV-IDM,42,53,5400,1.6976424432004535,1.6979517875782044,1.9055463132465502
AV-IDM,42,54,5500,1.6976424432004535,1.6979517875782044,2.0420142122973335
AV-IDM,42,55,5600,1.6976424432004535,1.6979517875782044,1.7500115037972375
AV-IDM,42,56,5700,1.6976216733657346,1.6979517875782044,1.9903524898499345
AV-IDM,42,57,5800,1.6976216733657346,1.6979517875782044,1.8989492982009701
AV-IDM,42,58,5900,1.6976216733657346,1.6979517875782044,2.107851869470359
AV-IDM,42,59,6000,1.6976216733657346,1.6976424432004535,2.036056280961312
AV-IDM,42,60,6100,1.6976216733657346,1.6976216733657346,1.928702496570572
AV-IDM,42,61,6200,1.6976216733657346,1.6976216733657346,1.963558709536054
AV-IDM,42,62,6300,1.6976216733657346,1.6976216733657346,1.7920267273798325
AV-IDM,42,63,6400,1.6976216733657346,1.6976216733657346,2.10302476449679
AV-IDM,42,64,6500,1.6976216733657346,1.6976216733657346,2.182273851919457
AV-IDM,42,65,6600,1.6976216733657346,1.6976216733657346,1.876257514927288
AV-IDM,42,66,6700,1.6976216733657346,1.6976216733657346,2.1299728549048162
AV-IDM,42,67,6800,1.6976216733657346,1.6976216733657346,2.031203504531287
AV-IDM,42,68,6900,1.6976216733657346,1.6976216733657346,1.8272982703368996
AV-IDM,42,69,7000,1.6976216733657346,1.6976216733657346,2.022567865340465
AV-IDM,42,70,7100,1.6976216733657346,1.6976216733657346,1.975910129519405
AV-IDM,42,71,7200,1.6976216733657346,1.6976216733657346,1.9542583543861287
AV-IDM,42,72,7300,1.6976216733657346,1.6976216733657346,1.9546245596572709
AV-IDM,42,73,7400,1.6976216733657346,1.6976216733657346,2.0823705328171127
AV-IDM,42,74,7500,1.6976216733657346,1.6976216733657346,1.9034142349181968
AV-IDM,42,75,7600,1.6976216733657346,1.6976216733657346,1.946223674959636
AV-IDM,42,76,7700,1.6976216733657346,1.6976216733657346,1.9280056263491354
AV-IDM,42,77,7800,1.6976216733657346,1.6976216733657346,1.966901314501873
AV-IDM,42,78,7900,1.6976216733657346,1.6976216733657346,2.0422078188652635
AV-IDM,42,79,8000,1.6976216733657346,1.6976216733657346,1.84734177804868
AV-IDM,42,80,8100,1.6976216733657346,1.6976216733657346,2.091339995035658
