parameter,estimate,original_lower_bound,original_upper_bound,expanded_lower_bound,expanded_upper_bound,expanded_relative_bound_position
C_front,2.81253906322418,0.5,3.0,0.1,5.0,0.5535794006579958
C_rear,2.8401150876525265,0.5,3.0,0.1,5.0,0.5592071607454135
C_left,3.5097422001477137,0.5,3.0,0.1,5.0,0.6958657551321864
C_right,1.8580213485309343,0.5,3.0,0.1,5.0,0.3587798670471294
a_lat,1.2731723061175364,0.25,1.0,0.1,1.5,0.8379802186553831
b_lat,1.0033683684833026,1.0,4.0,0.5,6.0,0.09152152154241865
s0_lat,2.6129354998169307,0.2,3.0,0.1,6.0,0.42592127115541195
T_lat,1.166922586643271,0.5,2.0,0.1,3.0,0.3679043402218176
a_long,1.4802429666055106,1.0,4.0,0.1,6.0,0.23393948586534075
v_desired_long,24.54863076709499,5.0,20.0,3.0,30.0,0.798097435818333
b_long,3.4950162112273677,1.0,4.0,0.5,6.0,0.5445484020413396
s0_long,4.888937765968745,1.0,4.0,0.1,8.0,0.6061946539200943
T_long,1.6463790293153915,0.5,2.0,0.1,3.0,0.5332341480397902
