model,seed,generation,best_rmse_m,median_rmse_m,mean_rmse_m
T-IDM,42,0,0.307533089848366,3.03578213627666,3.306244655371609
T-IDM,42,1,0.26013226007689944,1.5609327757201101,1.7837025892519043
T-IDM,42,2,0.26013226007689944,0.8930520935552995,1.2565020613280629
T-IDM,42,3,0.26013226007689944,0.5645690079558603,0.8160706237383202
T-IDM,42,4,0.26013226007689944,0.5220498795943457,0.6874787925464123
T-IDM,42,5,0.26013226007689944,0.5250299020648399,0.8053773329784949
T-IDM,42,6,0.26013226007689944,0.3869993306573552,0.6037173628337678
T-IDM,42,7,0.26013226007689944,0.4052968030095443,0.5981637956101767
T-IDM,42,8,0.25828191478921775,0.3151513890371117,0.5741862216763033
T-IDM,42,9,0.25607674531128305,0.27417970509916767,0.4294671735374926
T-IDM,42,10,0.25607674531128305,0.2609673540418823,0.2991252723939734
T-IDM,42,11,0.25607674531128305,0.26013226007689944,0.2799619787214365
T-IDM,42,12,0.25601147584652023,0.26013226007689944,0.26671212634655944
T-IDM,42,13,0.25601147584652023,0.26021418113242123,0.2742768147448464
T-IDM,42,14,0.25601147584652023,0.25796798603242754,0.27429691403304496
T-IDM,42,15,0.25601147584652023,0.25683529590669557,0.29067090931398615
T-IDM,42,16,0.25601147584652023,0.25607674531128305,0.26942910946324355
T-IDM,42,17,0.25583699435027857,0.25607674531128305,0.2617051879376314
T-IDM,42,18,0.25583699435027857,0.25601147584652023,0.27880561796399106
T-IDM,42,19,0.25583699435027857,0.25601147584652023,0.27522394090838725
T-IDM,42,20,0.25581149912226775,0.25601147584652023,0.27772013843860965
T-IDM,42,21,0.25581149912226775,0.2559651289686501,0.2667327137149151
T-IDM,42,22,0.25581149912226775,0.2558629621617007,0.2635038027471238
T-IDM,42,23,0.25488262817364515,0.25583699435027857,0.2593308411656473
T-IDM,42,24,0.25488262817364515,0.2558361344449519,0.2621577112723258
T-IDM,42,25,0.25481758883344297,0.25581149912226775,0.2627975387757504
T-IDM,42,26,0.25481758883344297,0.2558038888043234,0.26642129141851817
T-IDM,42,27,0.2531342062923698,0.25539516112936733,0.2760125866090166
T-IDM,42,28,0.2531342062923698,0.2549544804372018,0.2607636422549094
T-IDM,42,29,0.25293854377277813,0.25488262817364515,0.2613493067619405
T-IDM,42,30,0.25293854377277813,0.25481758883344297,0.30363854953441116
T-IDM,42,31,0.2508710254031148,0.25481758883344297,0.2711571358710561
T-IDM,42,32,0.2508710254031148,0.25481758883344297,0.2630432003293787
T-IDM,42,33,0.24963168888139867,0.2547254557648031,0.27269783967370814
T-IDM,42,34,0.24963168888139867,0.25352810155445393,0.27123099177034854
T-IDM,42,35,0.2494989677431411,0.2530975142366511,0.2794013032539851
T-IDM,42,36,0.24949640896235278,0.2508710254031148,0.26537443854790227
T-IDM,42,37,0.24918938440237473,0.25020778471023475,0.2562022956797767
T-IDM,42,38,0.24918938440237473,0.24977700227797472,0.2569579596560527
T-IDM,42,39,0.24891219977470422,0.24977700227797472,0.26038890340573945
T-IDM,42,40,0.24795427982795615,0.24963168888139867,0.2683376242018258
T-IDM,42,41,0.24795427982795615,0.24984552967724882,0.25573425686710916
T-IDM,42,42,0.24795427982795615,0.2494989677431411,0.2573109881472621
T-IDM,42,43,0.24795427982795615,0.24906329998361582,0.2634340718879435
T-IDM,42,44,0.24770020394403935,0.24874877887546834,0.2659601049147104
T-IDM,42,45,0.24770020394403935,0.24850800264134257,0.26656491261196286
T-IDM,42,46,0.24770020394403935,0.24849132263098167,0.255405333535193
T-IDM,42,47,0.24743717080731611,0.24849132263098167,0.2516817889198044
T-IDM,42,48,0.24743717080731611,0.24795427982795615,0.26061599554088566
T-IDM,42,49,0.24743717080731611,0.24770020394403935,0.25830834443516487
T-IDM,42,50,0.24738617584638753,0.24770020394403935,0.3016234420808349
T-IDM,42,51,0.24738617584638753,0.24745617937381753,0.2604014114023643
T-IDM,42,52,0.24631670273254871,0.24743717080731611,0.2601554670619582
T-IDM,42,53,0.24631670273254871,0.24743717080731611,0.2523343966128455
T-IDM,42,54,0.2380280705185173,0.2474203141812785,0.2543460618776998
T-IDM,42,55,0.2359715589409227,0.2471818930354651,0.2593550453873123
T-IDM,42,56,0.2359715589409227,0.2471818930354651,0.30854574077290625
T-IDM,42,57,0.23305755267180756,0.24725999506812574,0.2918488097586174
