model,seed,calibration_rmse_m,validation_rmse_m,a_max,b_comfort,time_gap,desired_speed,minimum_gap,kappa,lambda_speed,maximum_speed,critical_gap,transition_width,curvature_penalty,curvature_gap_gain,curvature_speed_penalty
T-IDM,42,0.22427071952729635,0.39216048049222463,2.2700588696467605,2.0416759404260976,1.8075898712225986,14.873619153374763,4.9997734945356935,,,,,,,,
T-IDM,43,0.21312946811061864,0.2691278367920922,1.90897948607857,0.8990140421166057,1.99777375967704,29.838966256995292,4.999996459587522,,,,,,,,
T-IDM,44,0.2276724477229688,0.3679042260770625,2.2475219887859916,2.3170362730959395,1.7819823776854486,15.33533660643956,4.999999203283327,,,,,,,,
T-IDM,45,0.1984148709098136,0.2576953748491363,2.6170234328164814,1.4747777553329826,1.9961437238161832,24.83359656697306,4.999996180918252,,,,,,,,
T-IDM,46,0.2499009991266737,0.32337103405599993,1.4868092040674405,1.0459759893156677,1.9985078408388732,29.9996033574669,3.634450664727289,,,,,,,,
T-FVD,42,0.08228770397849039,0.7196193529063307,,,,,,0.23098001342242463,0.472279301904626,7.210821204513596,19.43101994634028,,,,
T-FVD,43,0.09109984098390797,0.681454741174303,,,,,,0.20323655224183712,0.4559625191069628,7.357392405390046,19.4273924133896,,,,
T-FVD,44,0.07582750636385582,0.7671994604300848,,,,,,0.2624170546123209,0.5313056587828722,6.778446144894767,19.57780886678912,,,,
T-FVD,45,0.07276025444501932,0.800737286759177,,,,,,0.27628005755135665,0.5300741208579238,6.74671253112584,19.49593127999897,,,,
T-FVD,46,0.08322368815147205,0.7650726264058978,,,,,,0.2537572641154153,0.5818941394444792,6.366334068680103,19.727171491931824,,,,
C-FVD,42,0.13049388792863476,0.32771881753829796,,,,,,1.7584367681568978,1.6744624559520613,15.457278235144953,23.521572504862615,6.037819648007881,233.5248455267455,,
C-FVD,43,0.11756837180752583,0.30033121711674265,,,,,,3.1290342727760025,1.540384011030611,13.786682589229956,23.572841755602656,8.665396312521034,87.33066404967165,,
C-FVD,44,0.14814272447535565,0.8845024441670055,,,,,,0.973891010296115,1.1757460646964075,23.69207678409198,27.966636831727424,8.504050889681665,197.87444634774528,,
C-FVD,45,0.13578904486838106,0.6058946961868639,,,,,,2.1228393370537315,1.807863833642606,17.067198775729043,24.953085169366094,7.548704429739101,189.1271122650561,,
C-FVD,46,0.10344482094308442,1.3100822383544155,,,,,,3.2626858792305633,0.7319400666893086,8.20673510599882,19.411813502891725,5.115826346483158,8.10090828539406,,
GAPB,42,0.1488150931575359,0.2309086419244928,1.9141107353145326,1.442118160221196,1.392026255628541,16.456173754434108,8.980862077332404,,0.5078149190198323,,,,,0.038319603546099756,85.78225323531797
GAPB,43,0.2039174656234164,0.27919150265696857,0.8403780470512836,1.0026899281281818,0.8366357346140004,20.191429170123456,9.999985672419548,,0.3877336292870446,,,,,0.8871827308487346,127.30315567448446
GAPB,44,0.24166889336078748,0.43617302758618315,0.17699811165334134,1.0661625603938083,2.5043273886170274,27.93600499012495,9.980193667998897,,0.5274876597667886,,,,,5.381254839953442e-06,121.99860420284023
GAPB,45,0.25714624514557427,0.4217968674434209,0.22979886444938588,2.465343338360786,0.20271734342505413,29.99349686059309,2.908283832942546,,0.32371728349783047,,,,,0.0003640779866698196,0.25978827865058607
GAPB,46,0.18798050851971973,0.2831300210991004,1.1532651827210398,0.22162512345009686,1.747629864786378,29.94383134874943,7.3485611909349,,0.483136103173887,,,,,0.00013733489210299155,0.1092340205647857
