model,vehicle_index,peak_amplification_ratio,equilibrium_gap_m
T-IDM,0,1.0,29.28
T-IDM,1,0.7501439990185604,29.28
T-IDM,2,0.5964272541393387,29.28
T-IDM,3,0.49668931957655393,29.28
T-IDM,4,0.42957283004725594,29.28
T-IDM,5,0.38166428190719875,29.28
T-IDM,6,0.34482411365528065,29.28
T-IDM,7,0.3145371527657803,29.28
T-IDM,8,0.28857857761145195,29.28
C-FVD,0,1.0,25.04
C-FVD,1,1.0800210685652027,25.04
C-FVD,2,0.9316976693862989,25.04
C-FVD,3,0.7915422567236016,25.04
C-FVD,4,0.880331000197867,25.04
C-FVD,5,0.7927685973622308,25.04
C-FVD,6,0.8561634076849296,25.04
C-FVD,7,0.9511412634294218,25.04
C-FVD,8,0.9524789522845678,25.04
GAPB,0,1.0,28.580000000000002
GAPB,1,0.8427038049397136,28.580000000000002
GAPB,2,0.7101509536564606,28.580000000000002
GAPB,3,0.6095484166900634,28.580000000000002
GAPB,4,0.5402284356838185,28.580000000000002
GAPB,5,0.48175979723077295,28.580000000000002
GAPB,6,0.42958883726356806,28.580000000000002
GAPB,7,0.3941552020029686,28.580000000000002
GAPB,8,0.3727133080768367,28.580000000000002
