model,time_s,vehicle_index,speed_deviation_mps
T-IDM,0.0,0,5.861977570020827e-14
T-IDM,0.1,0,7.638334409421077e-14
T-IDM,0.2,0,1.0125233984581428e-13
T-IDM,0.30000000000000004,0,1.3145040611561853e-13
T-IDM,0.4,0,1.7408297026122455e-13
T-IDM,0.5,0,2.2737367544323206e-13
T-IDM,0.6000000000000001,0,2.9665159217984183e-13
T-IDM,0.7000000000000001,0,3.872457909892546e-13
T-IDM,0.8,0,5.062616992290714e-13
T-IDM,0.9,0,6.590283874174929e-13
T-IDM,1.0,0,8.562039965909207e-13
T-IDM,1.1,0,1.113775738303957e-12
T-IDM,1.2000000000000002,0,1.4441781104324036e-12
T-IDM,1.3,0,1.872280108727864e-12
T-IDM,1.4000000000000001,0,2.424727085781342e-12
T-IDM,1.5,0,3.133493464702042e-12
T-IDM,1.6,0,4.0465408801537706e-12
T-IDM,1.7000000000000002,0,5.218936394157936e-12
T-IDM,1.8,0,6.721734280290548e-12
T-IDM,1.9000000000000001,0,8.64730509420042e-12
T-IDM,2.0,0,1.1111112030448567e-11
T-IDM,2.1,0,1.425703999302641e-11
T-IDM,2.2,0,1.8271606450070976e-11
T-IDM,2.3000000000000003,0,2.3389290504383098e-11
T-IDM,2.4000000000000004,0,2.9901414677624416e-11
T-IDM,2.5,0,3.817746119239018e-11
T-IDM,2.6,0,4.8684611897442664e-11
T-IDM,2.7,0,6.200728819294454e-11
T-IDM,2.8000000000000003,0,7.887557273988932e-11
T-IDM,2.9000000000000004,0,1.0020784202424693e-10
T-IDM,3.0,0,1.2715162256426993e-10
T-IDM,3.1,0,1.6113688161567552e-10
T-IDM,3.2,0,2.0395063415890036e-10
T-IDM,3.3000000000000003,0,2.5781687895687355e-10
T-IDM,3.4000000000000004,0,3.255049563222201e-10
T-IDM,3.5,0,4.1044856402550067e-10
T-IDM,3.6,0,5.169145111949547e-10
T-IDM,3.7,0,6.501821303572797e-10
T-IDM,3.8000000000000003,0,8.167866383246292e-10
T-IDM,3.9000000000000004,0,1.0247998005752379e-09
T-IDM,4.0,0,1.284181649907623e-09
T-IDM,4.1000000000000005,0,1.6072068120820404e-09
T-IDM,4.2,0,2.0089707675197133e-09
T-IDM,4.3,0,2.5080293397650166e-09
T-IDM,4.4,0,3.1271500944285435e-09
T-IDM,4.5,0,3.894234268386754e-09
T-IDM,4.6000000000000005,0,4.843425216449759e-09
T-IDM,4.7,0,6.016449560775072e-09
T-IDM,4.800000000000001,0,7.46423012287778e-09
T-IDM,4.9,0,9.248832810726526e-09
T-IDM,5.0,0,1.1445793646203128e-08
T-IDM,5.1000000000000005,0,1.4146925408908828e-08
T-IDM,5.2,0,1.746366251609288e-08
T-IDM,5.300000000000001,0,2.1531075589109605e-08
T-IDM,5.4,0,2.6512658735100558e-08
T-IDM,5.5,0,3.260603165244902e-08
T-IDM,5.6000000000000005,0,4.0049744853831726e-08
T-IDM,5.7,0,4.9131347878983433e-08
T-IDM,5.800000000000001,0,6.019698517434335e-08
T-IDM,5.9,0,7.366275234232944e-08
T-IDM,6.0,0,9.002813960989897e-08
T-IDM,6.1000000000000005,0,1.0989191423504963e-07
T-IDM,6.2,0,1.3397085574240464e-07
T-IDM,6.300000000000001,0,1.63121820051515e-07
T-IDM,6.4,0,1.98367681392142e-07
T-IDM,6.5,0,2.4092779504769624e-07
T-IDM,6.6000000000000005,0,2.922537074567799e-07
T-IDM,6.7,0,3.5407093967876335e-07
T-IDM,6.800000000000001,0,4.284278247723705e-07
T-IDM,6.9,0,5.177524773358755e-07
T-IDM,7.0,0,6.249191528695519e-07
T-IDM,7.1000000000000005,0,7.533254091640629e-07
T-IDM,7.2,0,9.069817110685108e-07
T-IDM,7.300000000000001,0,1.090615272758555e-06
T-IDM,7.4,0,1.3097902460401656e-06
T-IDM,7.5,0,1.5710465763874026e-06
T-IDM,7.6000000000000005,0,1.8820601592750563e-06
T-IDM,7.7,0,2.2518272704274978e-06
T-IDM,7.800000000000001,0,2.690876579336532e-06
T-IDM,7.9,0,3.2115124888321134e-06
T-IDM,8.0,0,3.828093912972008e-06
T-IDM,8.1,0,4.557353156187105e-06
T-IDM,8.200000000000001,0,5.418759998931932e-06
T-IDM,8.3,0,6.434936716814832e-06
T-IDM,8.4,0,7.63213029841836e-06
T-IDM,8.5,0,9.040748834010515e-06
T-IDM,8.6,0,1.0695969697493979e-05
T-IDM,8.700000000000001,0,1.263842790777403e-05
T-IDM,8.8,0,1.4914993865744464e-05
T-IDM,8.9,0,1.7579650414489834e-05
T-IDM,9.0,0,2.0694480177496644e-05
T-IDM,9.1,0,2.4330774920144904e-05
T-IDM,9.200000000000001,0,2.8570279713591162e-05
T-IDM,9.3,0,3.3506585669584865e-05
T-IDM,9.4,0,3.924668596511083e-05
T-IDM,9.5,0,4.5912710991302674e-05
T-IDM,9.600000000000001,0,5.364385944162109e-05
T-IDM,9.700000000000001,0,6.259854322365754e-05
T-IDM,9.8,0,7.29567650896712e-05
T-IDM,9.9,0,8.492274888993734e-05
T-IDM,10.0,0,9.872784326958595e-05
T-IDM,10.100000000000001,0,0.00011463372055153798
T-IDM,10.200000000000001,0,0.00013293589328533528
T-IDM,10.3,0,0.0001539675716664135
T-IDM,10.4,0,0.00017810388553485268
T-IDM,10.5,0,0.0002057664950410043
T-IDM,10.600000000000001,0,0.00023742861423414752
T-IDM,10.700000000000001,0,0.0002736204717646018
T-IDM,10.8,0,0.0003149352325237942
T-IDM,10.9,0,0.000362035403455252
T-IDM,11.0,0,0.0004156597457214417
T-IDM,11.100000000000001,0,0.00047663071403825086
T-IDM,11.200000000000001,0,0.0005458624422036706
T-IDM,11.3,0,0.000624369291518434
T-IDM,11.4,0,0.0007132749759932722
T-IDM,11.5,0,0.00081382227488902
T-IDM,11.600000000000001,0,0.0009273833391176822
