trajectory_no,leader_id,follower_id,entry_lane,exit_lane,start_frame,end_frame,overlap_frames,duration_s,overlap_turn_deg,leader_ahead_share,heading_agreement_share,median_spacing_m,spacing_p95_m,median_lateral_offset_m,route_balanced_subset,representative
1,2009,2015,3,28,2395,2632,238,7.933333333333334,-55.975702700185394,1.0,1.0,14.628536248663014,17.409623766726035,2.1688079061808594,False,False
2,2015,2018,3,28,2433,2682,250,8.333333333333334,-61.00730168738127,1.0,1.0,11.344087856907171,13.719834476013649,1.0412319664139584,True,False
3,2018,2021,3,28,2483,2719,237,7.9,-63.610810516411114,1.0,1.0,10.71388165124475,17.620675637724045,1.4499352964417662,False,False
4,3153,3162,3,28,7579,7839,261,8.7,-44.69602576738209,1.0,1.0,19.76764516259942,20.149549478804197,1.9530264219335518,False,False
5,3162,3172,3,28,7670,7912,243,8.1,-39.35714357748571,1.0,1.0,25.037342452682942,25.418615103879738,4.254298044204599,False,False
6,3172,3180,3,28,7744,7990,247,8.233333333333333,-48.28086235426515,1.0,1.0,17.332581972339746,18.101633115895748,2.075911058260583,False,False
7,3180,3183,3,28,7788,8047,260,8.666666666666666,-60.55296433312335,1.0,1.0,12.626721532757259,12.922224980209592,2.16979412273222,False,False
8,3183,3193,3,28,7886,8085,200,6.666666666666667,-31.722559167688253,1.0,1.0,27.356981922357896,27.804927595245253,5.11150909846585,False,False
9,1978,1983,3,35,2165,2356,192,6.4,-36.08516781438135,1.0,1.0,21.176536025750316,23.018024565717422,4.90104838391391,False,False
10,1983,1986,3,35,2218,2433,216,7.2,-55.3436230072877,1.0,1.0,16.80925662796173,19.962355349995097,2.9744242073870226,True,False
11,1986,1991,3,35,2283,2476,194,6.466666666666667,-41.19280299514096,1.0,1.0,22.64666494664888,23.487408777425426,4.092850508061391,False,False
12,2011,2017,4,27,2418,2670,253,8.433333333333334,-61.437334331846344,1.0,1.0,16.207646097076097,20.754830555812752,2.6919908545032576,False,False
13,2017,2019,4,27,2480,2731,252,8.4,-68.35867338470916,1.0,1.0,12.412055735952716,19.731192523509698,1.504575598097944,True,False
14,1953,1964,4,35,2010,2277,268,8.933333333333334,-52.16419274994305,1.0,1.0,18.76485977858485,20.755200120612006,1.9552299193956828,False,False
15,3145,3156,4,35,7490,7790,301,10.033333333333333,-64.69491367512347,1.0,1.0,12.472001713709833,16.46100694087007,1.166020708461279,True,False
16,6,59,20,11,32,209,178,5.933333333333334,-62.29470189334941,1.0,1.0,13.683656721223162,15.723590304953806,2.4004416639662383,True,True
17,25,374,21,9,293,554,262,8.733333333333333,-53.98116440528905,1.0,1.0,14.067639429014658,15.854348319658707,1.0831056009461615,True,False
18,374,462,21,9,371,605,235,7.833333333333333,-42.812783527374066,1.0,1.0,21.628864621115067,22.007680896543352,3.653729895818326,False,False
19,2989,3006,21,9,5933,6225,293,9.766666666666667,-65.2141553416202,1.0,1.0,20.98138677372565,24.62365192464523,2.516769755058146,False,False
20,3006,3025,21,9,6039,6270,232,7.733333333333333,-69.0439881318925,1.0,1.0,14.356904335483076,21.805851509759712,3.1394338226546608,False,False
21,52,4,21,10,32,326,295,9.833333333333334,-58.56339040400556,1.0,1.0,13.964033163692422,17.02554594452965,1.304427601154124,True,False
22,13,102,25,26,54,619,566,18.866666666666667,20.969173089582988,1.0,1.0,10.568854389381315,11.749996121549087,0.39707199153866346,False,False
23,2951,2964,25,26,5567,5823,257,8.566666666666666,30.484079932255515,1.0,1.0,13.005802207482319,16.590435299406813,0.30206033965820944,True,False
